Away Avg,Obp,Slg,Ops,Rpg,Hrpg,Sopg,Lh%,P-hand,Era,Whip,Hrp9,Sop9,Ipg,B-Era,B-Whip,B-Hrp9,B-Sop9,Bspg, Repeat for Home
0.22,0.245,0.48,0.725,4.0,3.0,10.0,0.21,R,1.5,0.833,1.5,15.0,6.0,0.0,0.75,0.0,13.5,0.0,0.148,0.167,0.269,0.436,1.0,1.0,13.0,0.4,R,3.6,1.0,0.0,14.4,5.0,0.0,1.286,0.0,9.0,0.0
0.083,0.16,0.083,0.244,0.0,0.0,6.0,0.35,L,6.75,1.5,2.25,11.25,4.0,1.8,1.4,0.0,7.2,0.0,0.225,0.225,0.4,0.625,2.0,1.0,9.0,0.33,L,0.0,0.98,0.0,12.353,5.1,1.35,0.75,1.35,9.45,0.0
0.312,0.332,0.387,0.718,4.0,0.0,8.0,0.31,R,10.8,2.0,5.4,5.4,5.0,4.0,1.111,2.0,12.0,0.0,0.248,0.371,0.581,0.952,27.0,10.0,28.0,0.41,L,2.53,0.882,1.765,7.059,10.2,5.4,1.35,2.7,9.45,0.5
0.25,0.367,0.283,0.65,2.0,0.0,3.0,0.4,R,3.0,1.167,1.5,1.5,6.0,0.0,1.0,0.0,9.0,0.0,0.271,0.325,0.449,0.774,14.0,5.0,22.0,0.0,R,2.45,0.818,1.636,3.273,11.0,9.0,2.167,0.0,1.5,0.5
0.306,0.347,0.582,0.929,6.0,2.0,15.0,0.28,L,5.4,1.6,1.8,16.2,5.0,4.38,1.703,2.919,3.649,0.0,0.224,0.31,0.715,1.025,11.0,7.0,7.0,0.33,R,0.0,0.784,0.0,8.824,5.1,5.91,1.594,1.688,10.125,0.5
0.217,0.289,0.464,0.754,5.5,2.5,9.5,0.15,R,6.23,2.195,6.585,13.171,4.1,0.79,0.794,0.794,7.147,0.0,0.318,0.355,0.542,0.898,3.5,2.0,5.5,0.5,R,3.6,1.4,0.0,9.0,5.0,3.95,1.098,1.976,11.195,0.0
0.192,0.217,0.217,0.433,2.0,0.0,6.0,0.2,R,0.0,2.0,0.0,4.5,2.0,3.27,1.727,1.636,10.636,0.0,0.407,0.483,0.796,1.28,7.0,1.0,5.0,0.29,L,1.59,0.962,0.0,8.654,5.2,2.7,1.2,0.0,10.8,0.0
0.227,0.269,0.378,0.648,5.0,0.5,7.5,0.53,L,9.0,1.8,0.0,5.4,5.0,4.5,1.25,2.25,4.5,0.0,0.205,0.279,0.44,0.719,2.5,1.5,6.0,0.24,R,5.06,0.98,0.0,12.353,5.1,4.09,1.273,0.0,10.636,0.0
0.157,0.289,0.157,0.446,3.0,0.0,5.0,0.17,R,9.0,2.5,0.0,4.5,4.0,8.1,1.35,0.0,4.05,0.0,0.176,0.278,0.315,0.593,5.0,0.0,7.0,0.21,R,4.76,1.346,1.731,10.385,5.2,10.12,1.875,1.688,6.75,0.0
0.361,0.438,0.889,1.327,6.0,2.0,10.0,0.35,R,10.8,2.903,2.903,8.71,3.1,12.91,1.565,4.696,9.391,0.0,0.182,0.286,0.432,0.718,10.0,3.0,11.0,0.29,R,7.71,2.143,2.143,8.571,4.2,6.14,1.5,2.455,7.364,0.0
0.058,0.092,0.083,0.175,0.0,0.0,12.0,0.29,R,1.29,0.286,0.0,11.571,7.0,0.0,1.0,0.0,6.0,0.0,0.157,0.241,0.25,0.491,2.0,0.0,5.0,0.27,R,1.5,0.5,1.5,16.5,6.0,2.08,0.923,0.0,10.385,0.0
0.089,0.168,0.198,0.367,1.0,0.5,15.5,0.15,R,5.4,1.2,1.8,9.0,5.0,2.0,1.111,0.0,6.0,0.0,0.183,0.229,0.208,0.438,3.0,0.0,10.5,0.2,R,0.0,1.2,0.0,10.8,5.0,2.0,0.556,1.0,17.0,0.0
0.357,0.491,0.639,1.13,11.0,3.0,7.0,0.21,R,10.13,4.091,4.091,16.364,2.2,5.4,1.8,2.16,14.04,0.5,0.198,0.283,0.393,0.676,4.0,2.0,10.0,0.56,R,9.0,2.5,0.0,6.75,4.0,7.71,2.143,2.893,5.786,0.0
0.278,0.361,0.47,0.831,5.0,1.5,8.5,0.23,R,3.6,0.8,0.0,16.2,5.0,1.29,1.0,0.0,12.857,0.0,0.244,0.315,0.386,0.701,3.0,1.0,8.5,0.56,R,1.8,1.4,1.8,7.2,5.0,0.0,1.182,0.0,8.182,0.0
0.16,0.191,0.259,0.451,0.5,0.5,10.0,0.44,R,3.6,0.8,0.0,3.6,5.0,1.0,1.222,0.0,11.0,0.0,0.24,0.269,0.44,0.71,3.0,1.0,8.5,0.38,L,1.8,0.6,0.0,9.0,5.0,2.53,1.219,0.844,9.281,0.0
0.198,0.287,0.423,0.71,6.0,2.0,12.0,0.5,L,10.38,2.683,2.195,10.976,4.1,2.84,1.026,1.421,12.079,0.0,0.269,0.407,0.529,0.936,13.5,5.0,18.0,0.17,R,3.0,1.5,0.0,10.5,6.0,3.72,1.241,1.862,10.241,0.333
0.242,0.33,0.286,0.616,2.0,0.0,3.0,0.33,R,9.82,1.562,2.812,8.438,3.2,0.0,0.964,0.0,7.714,0.0,0.263,0.361,0.539,0.9,8.5,4.0,8.5,0.08,L,0.0,0.833,0.0,6.0,6.0,7.0,1.778,0.0,4.0,0.333
0.195,0.295,0.27,0.565,4.0,1.0,11.0,0.44,R,6.0,1.167,1.5,10.5,6.0,0.0,0.833,0.0,12.0,0.0,0.106,0.144,0.136,0.28,0.0,0.0,10.0,0.33,R,6.0,1.5,0.0,12.0,6.0,14.54,3.0,0.0,6.231,0.0
0.232,0.287,0.375,0.662,3.5,0.5,14.0,0.38,R,11.81,1.961,3.529,5.294,5.1,9.6,2.4,3.6,3.6,0.0,0.287,0.353,0.585,0.937,8.5,4.0,9.0,0.46,R,4.05,1.129,4.355,8.71,6.2,6.23,1.538,2.077,9.0,0.333
0.195,0.253,0.382,0.636,4.833,2.167,11.0,0.29,R,1.5,1.333,1.5,10.5,6.0,3.38,1.2,0.675,7.425,0.25,0.188,0.281,0.38,0.662,5.167,2.333,9.167,0.4,R,7.2,1.4,5.4,21.6,5.0,3.06,0.962,1.528,10.189,0.0
0.176,0.189,0.205,0.395,2.5,0.0,12.0,0.36,R,7.36,2.188,0.0,19.688,3.2,3.31,1.776,1.653,11.02,0.0,0.317,0.419,0.544,0.963,6.0,2.0,10.0,0.25,L,9.0,1.5,4.5,6.75,4.0,3.09,1.457,0.771,12.343,0.0
0.238,0.261,0.361,0.622,5.167,0.333,7.667,0.5,R,4.05,0.968,1.452,14.516,6.2,3.86,1.179,1.929,4.821,0.0,0.187,0.223,0.403,0.625,2.333,1.333,10.167,0.08,R,0.0,0.5,0.0,6.75,8.0,3.75,1.333,0.0,10.5,0.0
0.181,0.239,0.277,0.516,4.5,1.0,7.5,0.18,R,2.7,0.645,0.0,11.613,6.2,7.0,1.333,0.0,4.0,0.0,0.26,0.35,0.377,0.727,6.5,0.0,5.5,0.23,R,7.2,1.4,3.6,9.0,5.0,7.71,2.036,0.964,5.786,0.0
0.225,0.304,0.467,0.771,4.0,1.0,8.5,0.43,R,6.23,1.707,2.195,8.78,4.1,10.32,1.676,3.971,9.529,0.0,0.205,0.285,0.476,0.761,7.0,2.5,8.0,0.29,R,1.5,1.5,0.0,9.0,6.0,4.35,1.161,1.742,6.968,0.0
0.095,0.154,0.162,0.316,1.0,0.5,13.0,0.2,R,12.46,2.683,2.195,8.78,4.1,2.7,1.35,0.0,6.75,0.0,0.251,0.3,0.406,0.707,3.5,0.0,8.5,0.25,R,0.0,0.5,0.0,11.25,4.0,3.86,1.5,0.0,12.536,0.0
0.113,0.202,0.192,0.395,0.667,0.333,11.333,0.11,L,0.0,0.429,0.0,7.714,7.0,3.46,1.231,0.692,6.923,0.25,0.151,0.265,0.208,0.473,3.333,0.333,9.667,0.16,R,0.0,0.4,0.0,14.4,5.0,3.6,1.133,0.6,13.2,0.0
0.282,0.396,0.503,0.899,7.5,2.0,5.5,0.38,L,9.0,1.8,1.8,7.2,5.0,8.49,1.971,3.086,12.343,0.667,0.204,0.353,0.407,0.761,6.5,2.0,11.0,0.38,R,11.12,1.923,1.731,8.654,5.2,7.82,2.368,2.842,7.105,0.0
0.192,0.247,0.303,0.551,2.667,1.333,9.833,0.29,L,4.5,1.333,1.5,6.0,6.0,1.0,0.778,0.0,14.0,0.0,0.164,0.211,0.273,0.483,1.833,0.667,12.667,0.33,R,1.29,0.286,1.286,7.714,7.0,0.0,1.154,0.0,6.923,0.0
0.19,0.291,0.302,0.593,1.333,0.333,6.333,0.38,R,0.0,1.4,0.0,3.6,5.0,1.5,1.417,0.0,9.75,0.0,0.309,0.338,0.481,0.818,1.667,0.333,7.333,0.29,R,1.8,0.6,0.0,12.6,5.0,1.84,0.955,0.614,8.591,0.0
0.309,0.336,0.502,0.837,4.667,1.333,6.333,0.35,R,13.5,4.545,4.091,12.273,2.2,2.5,1.222,1.5,12.5,0.0,0.242,0.353,0.557,0.911,12.667,4.833,16.167,0.6,L,6.75,1.961,1.765,1.765,5.1,4.05,1.425,2.025,9.45,0.25
0.28,0.402,0.371,0.773,5.0,1.0,11.0,0.29,R,0.0,0.667,0.0,9.0,6.0,1.8,0.8,1.8,12.6,0.0,0.201,0.264,0.59,0.854,5.0,2.0,9.0,0.38,R,6.75,4.091,0.0,0.0,2.2,2.79,1.552,0.931,7.448,0.5
0.186,0.248,0.237,0.485,3.333,0.0,6.667,0.4,L,3.86,1.429,2.143,4.286,4.2,0.0,1.026,0.0,8.526,0.0,0.233,0.313,0.468,0.781,6.333,3.0,12.333,0.0,R,1.5,0.5,1.5,9.0,6.0,5.25,1.417,0.0,4.5,0.25
0.29,0.34,0.373,0.714,7.0,0.5,14.0,0.47,R,7.2,1.4,1.8,12.6,5.0,1.93,1.071,0.964,11.571,0.0,0.203,0.254,0.31,0.564,3.5,0.5,13.5,0.47,L,3.0,1.5,0.0,6.0,6.0,12.27,2.591,0.0,8.591,0.333
0.276,0.301,0.69,0.991,5.333,3.0,7.667,0.2,R,8.31,1.951,2.195,6.585,4.1,8.2,2.25,2.893,5.304,0.25,0.293,0.409,0.557,0.965,10.5,4.0,8.333,0.39,R,15.0,2.0,0.0,0.0,3.0,5.21,1.474,1.895,8.053,0.25
0.203,0.259,0.42,0.679,4.167,2.0,8.833,0.5,R,3.6,1.6,0.0,10.8,5.0,2.91,0.969,1.246,9.554,0.2,0.212,0.266,0.449,0.715,2.5,1.0,10.0,0.33,R,6.23,2.195,0.0,13.171,4.1,2.51,1.535,0.628,6.907,0.333
0.156,0.256,0.233,0.489,1.417,0.25,12.583,0.1,R,3.6,1.6,3.6,7.2,5.0,2.81,1.062,0.562,7.875,0.2,0.273,0.379,0.47,0.85,5.167,1.5,10.167,0.43,R,0.0,1.2,0.0,12.6,5.0,2.3,1.277,0.574,10.34,0.0
0.276,0.326,0.368,0.694,6.167,0.333,10.833,0.33,L,1.69,1.176,1.765,5.294,5.1,1.38,1.077,0.692,11.077,0.0,0.204,0.251,0.409,0.661,4.0,1.75,9.25,0.19,L,3.6,1.0,0.0,14.4,5.0,5.62,1.438,1.125,12.375,0.2
0.265,0.35,0.683,1.033,5.333,2.333,10.333,0.23,R,1.29,1.0,0.0,5.143,7.0,9.0,1.8,0.0,5.4,0.25,0.129,0.188,0.183,0.371,1.833,0.333,13.667,0.36,R,0.0,0.571,0.0,15.429,7.0,4.15,1.385,1.038,7.269,0.25
0.33,0.441,0.571,1.011,9.667,2.0,8.0,0.33,R,4.15,3.171,4.39,8.78,4.1,6.46,1.891,2.348,12.326,0.5,0.212,0.314,0.4,0.713,3.0,0.667,7.167,0.47,L,0.0,2.5,0.0,6.75,4.0,7.16,1.347,2.755,7.714,0.0
0.247,0.315,0.353,0.668,4.333,0.667,8.167,0.27,R,0.0,1.5,0.0,9.0,2.0,5.21,1.895,2.368,10.421,0.0,0.182,0.273,0.317,0.589,2.583,0.583,8.333,0.23,R,13.5,3.0,4.5,13.5,2.0,2.86,0.909,0.818,12.682,0.0
