Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,RunLine,,OpenOU,,CloseOU,
401,961,V,PIT,CKUHL,2,1,0,0,1,0,1,0,0,5,183,190,1.5,-120,7,-110,6.5,-115
401,962,H,CUB,KHENDRICK,1,0,1,0,0,0,0,1,0,3,-205,-210,-1.5,100,7,-110,6.5,-105
401,963,V,ATL,MFRIED-L,0,0,0,0,0,0,2,0,0,2,-105,117,1.5,-190,7.5,-110,7.5,100
401,964,H,PHI,ANOLA,1,0,1,0,0,0,0,0,0,3,-105,-127,-1.5,170,7.5,-110,7.5,-120
401,965,V,ARI,MBUMGARNE-L,1,0,0,0,6,0,0,0,0,7,188,205,1.5,100,8,-120,8.5,100
401,966,H,SDG,YDARVISH,0,2,3,1,0,1,1,0,x,8,-210,-230,-1.5,-120,8,100,8.5,-120
401,967,V,LAD,CKERSHAW-L,0,0,1,0,1,2,0,1,0,5,-210,-215,-1.5,-145,11.5,100,10.5,-115
401,968,H,COL,GMARQUEZ,0,0,2,0,2,2,2,0,x,8,188,195,1.5,125,11.5,-120,10.5,-105
401,969,V,STL,JFLAHERTY,6,1,0,4,0,0,0,0,0,11,105,112,1.5,-200,7.5,-110,7,-120
401,970,H,CIN,LCASTILLO,1,0,2,1,2,0,0,0,0,6,-115,-122,-1.5,175,7.5,-110,7,100
401,973,V,TOR,HRYU-L,0,1,0,0,0,1,0,0,0,3,149,170,1.5,-120,8,-110,8,100
401,974,H,NYY,GCOLE,0,2,0,0,0,0,0,0,0,2,-165,-185,-1.5,100,8,-110,8,-120
401,975,V,CLE,SBIEBER,0,0,0,0,0,0,0,0,2,2,-190,-180,-1.5,-115,7.5,-110,7.5,100
401,976,H,DET,MBOYD-L,2,1,0,0,0,0,0,0,x,3,170,165,1.5,-105,7.5,-110,7.5,-120
401,979,V,TEX,KGIBSON,5,1,2,0,0,1,0,0,1,10,149,140,1.5,-145,9.5,100,8.5,100
401,980,H,KAN,BKELLER,5,0,2,3,0,0,3,1,x,14,-165,-150,-1.5,125,9.5,-120,8.5,-120
401,981,V,CWS,LGIOLITO,0,1,0,0,2,0,0,0,0,3,-115,-118,-1.5,135,8.5,100,8,-110
401,982,H,LAA,DBUNDY,0,0,0,1,1,0,0,2,x,4,105,108,1.5,-155,8.5,-120,8,-110
401,983,V,HOU,ZGREINKE,0,0,0,1,0,2,0,2,3,8,-105,-102,1.5,-210,8.5,100,8,-120
401,984,H,OAK,CBASSITT,0,0,0,0,0,0,1,0,0,1,-105,-108,-1.5,185,8.5,-120,8,100
401,985,V,MIN,KMAEDA,0,0,2,1,0,0,2,0,0,5,-105,-101,1.5,-200,8,-120,7.5,-105
401,986,H,MIL,BWOODRUFF,0,0,1,0,1,0,0,0,3,6,-105,-109,-1.5,175,8,100,7.5,-115
401,987,V,TAM,TGLASNOW,0,0,0,0,0,0,0,1,0,1,-140,-150,-1.5,110,8,100,7,-120
401,988,H,MIA,SALCANTAR,0,0,0,0,0,0,0,0,0,0,126,140,1.5,-130,8,-120,7,100
401,989,V,SFO,KGAUSMAN,0,2,0,1,2,0,0,1,1,7,-105,-118,-1.5,130,8.5,-110,8,-105
401,990,H,SEA,MGONZALES-L,0,0,0,0,0,0,1,6,0,8,-105,108,1.5,-150,8.5,-110,8,-115
402,917,V,LAD,TBAUER,2,2,0,3,1,0,2,1,0,11,-275,-240,-1.5,-165,11,-110,12,-105
402,918,H,COL,ASENZATEL,0,0,0,0,0,0,6,0,0,6,243,210,1.5,145,11,-110,12,-115
402,919,V,ARI,MKELLY,0,0,0,0,0,0,2,0,0,2,213,190,1.5,-110,8.5,-110,8,-105
402,920,H,SDG,BSNELL-L,0,1,2,0,0,0,1,0,x,4,-240,-210,-1.5,-110,8.5,-110,8,-115
402,921,V,CWS,DKEUCHEL-L,0,0,4,3,0,0,0,0,5,12,-119,109,1.5,-190,8.5,-110,8.5,-115
402,922,H,LAA,AHEANEY-L,1,0,0,3,2,0,0,0,2,8,109,-119,-1.5,170,8.5,-110,8.5,-105
402,923,V,HOU,CJAVIER,0,0,3,2,0,0,1,0,3,9,115,114,1.5,-175,8.5,-110,8.5,-105
402,924,H,OAK,JLUZARDO-L,0,0,0,2,0,0,2,1,0,5,-135,-124,-1.5,155,8.5,-110,8.5,-115
402,925,V,TAM,RYARBROUG-L,0,0,0,0,0,1,1,0,4,6,-140,-101,1.5,-220,7.5,-110,7.5,105
402,926,H,MIA,PLOPEZ,0,0,0,0,0,0,3,1,0,4,120,-109,-1.5,195,7.5,-110,7.5,-125
