Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,Run Line,,Open OU,,Close OU,
401,960,H,HOU,SFELDMAN-R,4,2,0,0,0,0,0,0,x,6,140,135,1.5,-130,8,-110,8.5,100
401,961,V,TOR,DHUTCHISO-R,3,0,0,1,0,0,0,0,0,4,140,145,1.5,-145,8,100,7.5,-105
401,962,H,TAM,ACOBB-R,0,0,0,0,0,0,0,1,1,2,-160,-165,-1.5,125,8,-120,7.5,-115
401,965,V,SEA,ERAMIREZ-R,0,0,4,0,1,1,0,0,2,8,150,150,1.5,-145,8,100,7.5,105
401,966,H,LAA,CWILSON-L,0,0,0,2,0,0,0,1,0,3,-170,-170,-1.5,125,8,-120,7.5,-125
401,967,V,PHI,ABURNETT-R,0,0,0,0,0,2,0,0,0,2,110,131,1.5,-165,8.5,-105,8.5,-115
401,968,H,TEX,MPEREZ-L,0,0,0,0,0,1,1,0,1,3,-125,-146,-1.5,145,8.5,-115,8.5,-105
402,901,V,ATL,AHARANG-R,0,0,0,0,0,0,1,0,0,1,125,114,1.5,-170,8.5,100,9,-105
402,902,H,MIL,MGARZA-R,0,0,0,0,0,0,0,0,0,0,-140,-124,-1.5,150,8.5,-120,9,-115
402,903,V,CUB,EJACKSON-R,0,0,0,0,0,0,0,1,1,3,145,140,1.5,-167,7,100,7,110
402,904,H,PIT,CMORTON-R,0,1,0,0,0,1,0,0,0,4,-165,-155,-1.5,147,7,-120,7,-130
402,905,V,COL,JLYLES-R,3,0,0,3,0,0,0,0,0,6,110,113,1.5,-205,7.5,105,7.5,102
402,906,H,MIA,HALVAREZ-R,1,0,0,0,0,3,0,0,1,5,-120,-123,-1.5,175,7.5,-125,7.5,-122
402,907,V,WAS,GGONZALEZ-L,0,0,0,1,2,0,1,0,1,5,-140,-122,-1.5,140,7,100,6.5,-120
402,908,H,NYM,BCOLON-R,1,0,0,0,0,0,0,0,0,1,125,112,1.5,-160,7,-120,6.5,100
402,909,V,STL,MWACHA-R,0,0,0,0,0,0,0,0,0,0,-120,-116,-1.5,145,7.5,105,7,-110
402,910,H,CIN,TCINGRANI-L,0,0,0,0,0,0,0,0,1,1,110,106,1.5,-165,7.5,-125,7,-110
402,911,V,SFO,THUDSON-R,0,0,0,0,1,1,0,0,0,2,105,-105,1.5,-215,9,105,8.5,-120
402,912,H,ARI,TCAHILL-R,0,0,0,0,0,0,0,0,0,0,-115,-105,-1.5,185,9,-125,8.5,100
402,913,V,LOS,DHAREN-R,3,0,0,0,1,0,0,1,0,5,-115,100,1.5,-230,7,-110,6.5,-125
402,914,H,SDG,TROSS-R,0,0,0,1,0,0,0,0,0,1,105,-110,-1.5,190,7,-110,6.5,105
402,915,V,KAN,JVARGAS-L,0,0,0,0,0,0,0,0,1,1,175,175,1.5,-125,7.5,-115,7.5,-107
402,916,H,DET,MSCHERZER-R,0,0,0,1,0,0,0,0,0,2,-200,-200,-1.5,105,7.5,-105,7.5,-113
402,917,V,MIN,KCORREIA-R,0,1,1,0,0,0,3,0,1,6,125,125,1.5,-175,7.5,-120,8,102
402,918,H,CWS,FPAULINO-R,0,3,0,0,0,0,0,1,2,7,-140,-140,-1.5,155,7.5,100,8,-122
402,919,V,CLE,CKLUBER-R,0,0,0,0,0,0,0,0,1,1,110,130,1.5,-175,8,-110,7.5,110
402,920,H,OAK,SKAZMIR-L,1,2,2,0,0,1,0,0,x,6,-120,-145,-1.5,155,8,-110,7.5,-130
402,921,V,BOS,JLACKEY-R,0,0,2,0,2,0,2,0,0,6,-103,-117,-1.5,140,8.5,-120,8.5,-115
402,922,H,BAL,UJIMENEZ-R,0,0,0,2,0,0,0,0,0,2,-107,107,1.5,-160,8.5,100,8.5,-105
402,923,V,TOR,MBUEHRLE-L,0,0,0,2,0,0,1,0,0,3,150,138,1.5,-160,7.5,100,8,100
402,924,H,TAM,MMOORE-L,0,0,0,0,0,0,0,0,0,0,-170,-153,-1.5,140,7.5,-120,8,-120
402,925,V,NYY,HKURODA-R,0,0,0,0,0,0,1,0,0,1,-165,-170,-1.5,-110,8.5,100,8,-122
402,926,H,HOU,JCOSART-R,1,0,1,0,0,0,1,0,x,3,145,150,1.5,-110,8.5,-120,8,102
402,927,V,SEA,JPAXTON-L,0,0,1,0,1,4,0,0,2,8,120,127,1.5,-175,8,-110,7.5,105
402,928,H,LAA,HSANTIAGO-L,0,0,0,0,0,0,0,0,2,2,-135,-142,-1.5,155,8,-110,7.5,-125
402,929,V,PHI,KKENDRICK-R,1,0,2,0,0,0,0,0,0,3,140,150,1.5,-135,9.5,100,9.5,-110
402,930,H,TEX,RROSS-L,0,0,0,0,0,0,1,0,3,4,-155,-170,-1.5,115,9.5,-120,9.5,-110
402,931,V,CLE,ZMCALLIST-R,0,0,0,2,0,0,1,0,3,6,120,113,1.5,-185,8,-115,8,-105
402,932,H,OAK,JLINDBLOM-R,2,0,0,1,0,0,1,0,0,4,-135,-128,-1.5,165,8,-105,8,-115
403,951,V,STL,LLYNN-R,0,2,0,1,1,0,3,0,0,7,110,102,1.5,-220,7.5,-110,7.5,100
403,952,H,CIN,HBAILEY-R,3,0,0,0,0,0,3,0,0,6,-120,-112,-1.5,190,7.5,-110,7.5,-120
403,953,V,CUB,JHAMMEL-R,1,1,1,0,0,0,0,0,0,3,155,144,1.5,-160,7.5,-110,7,-115
403,954,H,PIT,WRODRIGUE-L,0,0,0,0,0,0,2,0,0,2,-175,-159,-1.5,140,7.5,-110,7,-105
403,955,V,COL,FMORALES-L,1,0,3,0,1,0,0,0,0,5,-115,-113,-1.5,150,7.5,-120,7.5,105
403,956,H,MIA,JTURNER-R,1,0,1,0,0,1,1,4,x,8,105,103,1.5,-170,7.5,100,7.5,-125
403,957,V,WAS,TROARK-R,0,1,0,0,2,0,4,1,0,8,-150,-117,-1.5,145,7,-115,7,105
403,958,H,NYM,ZWHEELER-R,2,0,0,0,0,0,0,0,0,2,135,107,1.5,-165,7,-105,7,-125
403,959,V,SFO,TLINCECUM-R,1,0,0,1,0,0,1,5,0,8,110,107,1.5,-200,8.5,-120,8.5,-110
